userId,rating,genreCount,reviewCount,averageRating,percentGenre
2,4.333333333333333,3,29,3.9482758620689653,0.10344827586206896
4,4.0,2,216,3.5555555555555554,0.009259259259259259
16,4.0,1,98,3.7244897959183674,0.01020408163265306
17,3.5,1,105,4.20952380952381,0.009523809523809525
18,3.9444444444444446,9,502,3.7320717131474104,0.017928286852589643
20,3.75,2,242,3.590909090909091,0.008264462809917356
22,2.0,5,119,2.5714285714285716,0.04201680672268908
23,3.25,2,121,3.6487603305785123,0.01652892561983471
28,3.25,2,570,3.020175438596491,0.0035087719298245615
29,4.25,2,81,4.1419753086419755,0.024691358024691357
31,5.0,1,50,3.92,0.02
32,4.0,1,102,3.7549019607843137,0.00980392156862745
34,2.0,1,86,3.4186046511627906,0.011627906976744186
38,5.0,1,78,3.217948717948718,0.01282051282051282
41,1.5,2,217,3.2534562211981566,0.009216589861751152
42,4.333333333333333,3,440,3.565909090909091,0.006818181818181818
45,4.0,1,399,3.8759398496240602,0.002506265664160401
47,3.2857142857142856,7,140,3.0535714285714284,0.05
50,3.142857142857143,14,310,2.7806451612903227,0.04516129032258064
51,5.0,2,359,3.7757660167130918,0.005571030640668524
52,4.5,3,130,4.476923076923077,0.023076923076923078
57,4.0,1,476,3.392857142857143,0.0021008403361344537
59,4.5,2,107,4.355140186915888,0.018691588785046728
63,4.357142857142857,7,271,3.6309963099630997,0.025830258302583026
64,4.083333333333333,6,517,3.7688588007736943,0.01160541586073501
68,3.787878787878788,33,1260,3.233730158730159,0.02619047619047619
70,4.5,2,62,4.32258064516129,0.03225806451612903
74,5.0,1,177,4.271186440677966,0.005649717514124294
76,3.5,1,119,3.0840336134453783,0.008403361344537815
79,4.333333333333333,6,64,4.203125,0.09375
82,3.0,1,227,3.381057268722467,0.004405286343612335
83,2.0,1,118,3.309322033898305,0.00847457627118644
84,3.75,4,293,3.689419795221843,0.013651877133105802
89,4.5,4,518,3.472972972972973,0.007722007722007722
90,4.25,4,54,4.074074074074074,0.07407407407407407
91,3.5,8,575,3.3956521739130436,0.01391304347826087
95,4.5,2,168,4.0625,0.011904761904761904
103,3.5,2,377,3.907161803713528,0.005305039787798408
105,4.454545454545454,22,722,4.116343490304709,0.030470914127423823
109,3.0,1,127,3.220472440944882,0.007874015748031496
110,5.0,1,51,3.7254901960784315,0.0196078431372549
111,4.2631578947368425,19,646,3.3397832817337463,0.029411764705882353
119,3.875,4,215,4.176744186046512,0.018604651162790697
121,3.0,1,58,3.293103448275862,0.017241379310344827
122,4.5,2,292,4.546232876712328,0.00684931506849315
125,2.5,1,360,3.859722222222222,0.002777777777777778
131,3.0,1,69,3.4420289855072466,0.014492753623188406
132,2.75,2,347,3.0389048991354466,0.005763688760806916
135,4.5,2,279,3.630824372759857,0.007168458781362007
137,4.416666666666667,6,141,3.978723404255319,0.0425531914893617
140,3.5,3,608,3.4991776315789473,0.004934210526315789
143,5.0,1,71,3.323943661971831,0.014084507042253521
144,3.5,2,128,3.62890625,0.015625
152,4.375,4,63,4.023809523809524,0.06349206349206349
153,1.0,1,179,2.217877094972067,0.00558659217877095
156,3.8333333333333335,3,398,3.692211055276382,0.007537688442211055
158,4.0,1,26,3.423076923076923,0.038461538461538464
161,4.5,2,39,3.8333333333333335,0.05128205128205128
166,4.0,2,190,4.073684210526316,0.010526315789473684
168,4.75,2,94,4.462765957446808,0.02127659574468085
169,4.333333333333333,3,269,4.24907063197026,0.011152416356877323
177,3.8333333333333335,3,904,3.375553097345133,0.00331858407079646
178,3.75,2,77,4.090909090909091,0.025974025974025976
182,3.2666666666666666,15,977,3.5112589559877176,0.015353121801432957
184,4.4375,8,134,3.705223880597015,0.05970149253731343
186,4.0,1,226,4.079646017699115,0.004424778761061947
187,4.029411764705882,17,258,3.7751937984496124,0.06589147286821706
190,3.5,2,66,3.909090909090909,0.030303030303030304
191,5.0,4,85,3.7411764705882353,0.047058823529411764
199,3.1,5,363,3.3953168044077136,0.013774104683195593
200,4.0,1,334,3.809880239520958,0.0029940119760479044
202,4.666666666666667,3,403,3.8188585607940446,0.007444168734491315
205,5.0,1,27,3.8703703703703702,0.037037037037037035
215,5.0,1,98,3.9081632653061225,0.01020408163265306
216,5.0,1,164,3.6646341463414633,0.006097560975609756
219,3.75,4,528,3.165719696969697,0.007575757575757576
220,4.0,1,207,3.963768115942029,0.004830917874396135
221,4.423076923076923,13,331,4.126888217522659,0.03927492447129909
222,2.75,2,250,3.166,0.008
223,4.0,1,75,3.2733333333333334,0.013333333333333334
226,4.166666666666667,6,507,3.4763313609467454,0.011834319526627219
227,4.0,4,94,4.202127659574468,0.0425531914893617
232,3.3,15,862,3.2505800464037122,0.01740139211136891
233,3.25,2,150,3.3,0.013333333333333334
235,4.0,1,65,3.646153846153846,0.015384615384615385
239,4.125,4,279,4.026881720430108,0.014336917562724014
