userId,rating,genreCount,reviewCount,averageRating,percentGenre
1,4.166666666666667,18,232,4.366379310344827,0.07758620689655173
2,4.0,2,29,3.9482758620689653,0.06896551724137931
3,5.0,1,39,2.4358974358974357,0.02564102564102564
4,3.4782608695652173,23,216,3.5555555555555554,0.10648148148148148
5,4.0,1,44,3.6363636363636362,0.022727272727272728
6,3.7333333333333334,15,314,3.4936305732484074,0.04777070063694268
7,3.1785714285714284,14,152,3.2302631578947367,0.09210526315789473
8,4.0,3,47,3.574468085106383,0.06382978723404255
9,4.0,3,46,3.260869565217391,0.06521739130434782
10,2.1666666666666665,3,140,3.2785714285714285,0.02142857142857143
11,4.333333333333333,3,64,3.78125,0.046875
13,4.5,2,31,3.6451612903225805,0.06451612903225806
14,4.5,2,48,3.3958333333333335,0.041666666666666664
15,3.4166666666666665,12,135,3.448148148148148,0.08888888888888889
16,3.769230769230769,13,98,3.7244897959183674,0.1326530612244898
17,4.05,10,105,4.20952380952381,0.09523809523809523
18,4.026785714285714,56,502,3.7320717131474104,0.11155378486055777
19,2.9655172413793105,58,703,2.607396870554765,0.08250355618776671
20,3.21875,16,242,3.590909090909091,0.06611570247933884
21,3.361111111111111,18,443,3.260722347629797,0.040632054176072234
22,2.4583333333333335,12,119,2.5714285714285716,0.10084033613445378
23,4.068181818181818,22,121,3.6487603305785123,0.18181818181818182
24,3.769230769230769,13,110,3.65,0.11818181818181818
25,4.75,2,26,4.8076923076923075,0.07692307692307693
26,4.0,1,21,3.238095238095238,0.047619047619047616
27,4.333333333333333,3,135,3.5481481481481483,0.022222222222222223
28,2.9285714285714284,56,570,3.020175438596491,0.09824561403508772
29,4.357142857142857,7,81,4.1419753086419755,0.08641975308641975
30,5.0,1,34,4.735294117647059,0.029411764705882353
31,5.0,1,50,3.92,0.02
32,3.625,8,102,3.7549019607843137,0.0784313725490196
33,3.6666666666666665,9,156,3.7884615384615383,0.057692307692307696
34,3.0714285714285716,7,86,3.4186046511627906,0.08139534883720931
35,5.0,1,23,4.086956521739131,0.043478260869565216
36,3.0,10,60,2.6333333333333333,0.16666666666666666
38,4.333333333333333,3,78,3.217948717948718,0.038461538461538464
39,3.75,8,100,4.0,0.08
40,4.333333333333333,3,103,3.766990291262136,0.02912621359223301
41,3.3,20,217,3.2534562211981566,0.09216589861751152
42,3.962962962962963,27,440,3.565909090909091,0.06136363636363636
43,4.5,4,114,4.552631578947368,0.03508771929824561
44,3.0,1,48,3.3541666666666665,0.020833333333333332
45,4.2105263157894735,19,399,3.8759398496240602,0.047619047619047616
46,4.333333333333333,3,42,4.0,0.07142857142857142
47,2.6875,8,140,3.0535714285714284,0.05714285714285714
48,4.5,2,33,4.03030303030303,0.06060606060606061
49,4.25,2,21,4.261904761904762,0.09523809523809523
50,3.225,20,310,2.7806451612903227,0.06451612903225806
51,3.6956521739130435,23,359,3.7757660167130918,0.06406685236768803
